,text,rythm,rythm_tok,ipa,pos
10,"['liebe mutter s hat gestern im schornstein geraucht', 'liebes kind es hat einer das werg gebraucht']","[[1, 0, 1, 0, 0, 1, 1, 0.5, 1, 0, 0.5, 1, 0.5, 0, 1], [1, 0, 1, 0.5, 0.5, 1, 0, 0, 1, 0, 1]]","[[[1, 0], [1, 0], [0, 1, 1], [0.5], [1, 0], [0.5], [1, 0.5], [0, 1]], [[1, 0], [1], [0.5], [0.5], [1, 0], [0], [1], [0, 1]]]","[['ˈlibə', 'ˈmʊtɐ', 'ɛsˈʔaˈs', 'hat', 'ˈɡɛstɐn', 'ɪm', 'ˈʃɔʁnˌʃtaɪn', 'ɡəˈʁaʊxt'], ['ˈlibəs', 'kɪnt', 'ɛs', 'hat', 'ˈaɪnɐ', 'das', 'vɛʁk', 'ɡəˈbʁaʊxt']]","[['ADJ', 'NOUN', 'PRON', 'AUX', 'ADV', 'ADP', 'NOUN', 'VERB'], ['ADJ', 'NOUN', 'PRON', 'AUX', 'PRON', 'DET', 'NOUN', 'VERB']]"
11,"['liebe mutter in der nacht war dein besen nicht zu haus', 'liebes kind so war er zum blocksberg hinaus']","[[1, 0, 1, 0, 0.5, 0, 1, 0.5, 0, 1, 0, 0, 0.5, 1], [1, 0, 1, 1, 0.5, 0.5, 0.5, 1, 0, 0, 1]]","[[[1, 0], [1, 0], [0.5], [0], [1], [0.5], [0], [1, 0], [0], [0.5], [1]], [[1, 0], [1], [1], [0.5], [0.5], [0.5], [1, 0], [0, 1]]]","[['ˈlibə', 'ˈmʊtɐ', 'ɪn', 'deɐ', 'naxt', 'vaɐ', 'daɪn', 'ˈbezɛn', 'nɪçt', 'tsu', 'haʊs'], ['ˈlibəs', 'kɪnt', 'zo', 'vaɐ', 'eɐ', 'tsʊm', 'ˈblɔksbɛʁk', 'hɪˈnaʊs']]","[['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'PART', 'ADP', 'NOUN'], ['PROPN', 'NOUN', 'ADV', 'AUX', 'PRON', 'ADP', 'NOUN', 'ADP']]"
12,"['liebe mutter dein bett war leer in der nacht', 'deine mutter hat oben auf dem blocksberg gewacht']","[[1, 0, 1, 0, 0, 1, 0.5, 1, 0.5, 0, 1], [1, 0, 1, 0, 0.5, 1, 0, 0.5, 0, 1, 0, 0, 1]]","[[[1, 0], [1, 0], [0], [1], [0.5], [1], [0.5], [0], [1]], [[1, 0], [1, 0], [0.5], [1, 0], [0.5], [0], [1, 0], [0, 1]]]","[['ˈlibə', 'ˈmʊtɐ', 'daɪn', 'bɛt', 'vaɐ', 'leɐ', 'ɪn', 'deɐ', 'naxt'], ['ˈdaɪnə', 'ˈmʊtɐ', 'hat', 'ˈobɛn', 'aʊf', 'dem', 'ˈblɔksbɛʁk', 'ɡəˈvaxt']]","[['ADJ', 'NOUN', 'DET', 'NOUN', 'AUX', 'ADV', 'ADP', 'DET', 'NOUN'], ['DET', 'NOUN', 'AUX', 'ADV', 'ADP', 'DET', 'NOUN', 'VERB']]"
13,"['du starker tod führ mich hinan', 'zum geisterlande droben', 'die mir von gott gewiesne bahn', 'zog ich die stirn erhoben', 'was ich gegeben gott war dein', 'mein reichthum war mein träumen', 'nur wenig that ich  sang darein', 'wie vöglein auf den bäumen']","[[0.5, 1, 0, 1, 1, 0.5, 0, 1], [0.5, 1, 0, 0.5, 0, 1, 0], [0, 0.5, 0.5, 1, 0, 1, 0, 0.5], [1, 0.5, 0, 1, 0, 1, 0], [0.5, 0.5, 0, 1, 0, 1, 0.5, 0], [0, 1, 0, 0.5, 0, 1, 0], [1, 1, 0, 0.5, 0.5, 1, 0, 1], [0.5, 1, 0, 0.5, 0, 1, 0]]","[[[0.5], [1, 0], [1], [1], [0.5], [0, 1]], [[0.5], [1, 0, 0.5, 0], [1, 0]], [[0], [0.5], [0.5], [1], [0, 1, 0], [0.5]], [[1], [0.5], [0], [1], [0, 1, 0]], [[0.5], [0.5], [0, 1, 0], [1], [0.5], [0]], [[0], [1, 0], [0.5], [0], [1, 0]], [[1], [1, 0], [0.5], [0.5], [1], [0, 1]], [[0.5], [1, 0], [0.5], [0], [1, 0]]]","[['du', 'ˈʃtaʁkɐ', 'tot', 'fyɐ', 'mɪç', 'hɪˈnan'], ['tsʊm', 'ˈɡaɪstɐˌlandə', 'ˈdʁobɛn'], ['di', 'miɐ', 'fɔn', 'ɡɔt', 'ɡəˈvisnə', 'ban'], ['tsok', 'ɪç', 'di', 'ʃtɪʁn', 'ɛɐˈhobɛn'], ['vas', 'ɪç', 'ɡəˈɡebɛn', 'ɡɔt', 'vaɐ', 'daɪn'], ['maɪn', 'ˈʁaɪçthum', 'vaɐ', 'maɪn', 'ˈtʁɔɪmən'], ['nuɐ', 'ˈvenɪç', 'tat', 'ɪç', 'zaŋ', 'daˈʁaɪn'], ['vi', 'ˈføɡlaɪn', 'aʊf', 'den', 'ˈbɔɪmən']]","[['PRON', 'ADJ', 'NOUN', 'VERB', 'PRON', 'ADV'], ['ADP', 'ADJ', 'NOUN'], ['DET', 'PRON', 'ADP', 'NOUN', 'PROPN', 'PROPN'], ['VERB', 'PRON', 'DET', 'NOUN', 'VERB'], ['PRON', 'PRON', 'VERB', 'NOUN', 'AUX', 'DET'], ['DET', 'ADV', 'AUX', 'DET', 'NOUN'], ['ADV', 'DET', 'X', 'PRON', 'VERB', 'ADV'], ['ADP', 'PROPN', 'ADP', 'DET', 'NOUN']]"
14,"['leb wohl du rose frisch und roth', 'lebt wohl ihr meine lieben', 'führ mich hinan du starker tod', 'obgleich ich gern geblieben', 'hab dank o gott für all dein gut', 'für alle künftgen zeiten ', 'nun stürme tod durch zeitenfluth', 'zu ewgen sommerfreuden']","[[0.5, 1, 0.5, 1, 0, 1, 0, 0.5], [1, 1, 0.5, 1, 0, 1, 0], [1, 0.5, 0, 1, 0.5, 1, 0, 1], [0, 1, 0.5, 1, 0, 1, 0], [0.5, 0.5, 0.5, 1, 0.5, 0, 0, 1], [0.5, 1, 0, 1, 0, 1, 0], [1, 1, 0, 1, 0.5, 1, 0, 0.5], [0.5, 1, 0, 1, 0, 0.5, 0]]","[[[0.5], [1], [0.5], [1, 0], [1], [0], [0.5]], [[1], [1], [0.5], [1, 0], [1, 0]], [[1], [0.5], [0, 1], [0.5], [1, 0], [1]], [[0, 1], [0.5], [1], [0, 1, 0]], [[0.5], [0.5], [0.5], [1], [0.5], [0], [0], [1]], [[0.5], [1, 0], [1, 0], [1, 0]], [[1], [1, 0], [1], [0.5], [1, 0, 0.5]], [[0.5], [1, 0], [1, 0, 0.5, 0]]]","[['lep', 'vol', 'du', 'ˈʁozə', 'fʁɪʃ', 'ʊnt', 'ʁot'], ['lept', 'vol', 'iɐ', 'ˈmaɪnə', 'ˈlibɛn'], ['fyɐ', 'mɪç', 'hɪˈnan', 'du', 'ˈʃtaʁkɐ', 'tot'], ['ɔpˈɡlaɪç', 'ɪç', 'ɡɛʁn', 'ɡəˈblibɛn'], ['hap', 'daŋk', 'o', 'ɡɔt', 'fyɐ', 'al', 'daɪn', 'ɡut'], ['fyɐ', 'ˈalə', 'ˈkʏnftɡɛn', 'ˈtsaɪtən'], ['nun', 'ˈʃtʏʁmə', 'tot', 'dʊʁç', 'ˈtsaɪtɛnˌflut'], ['tsu', 'ˈeɡɛn', 'ˈzɔmɐˌfʁɔɪdɛn']]","[['PROPN', 'ADV', 'PRON', 'PROPN', 'ADV', 'CCONJ', 'PROPN'], ['VERB', 'ADV', 'PRON', 'DET', 'VERB'], ['VERB', 'PRON', 'ADV', 'PRON', 'ADJ', 'NOUN'], ['SCONJ', 'PRON', 'ADV', 'VERB'], ['AUX', 'ADP', 'PROPN', 'NOUN', 'ADP', 'DET', 'DET', 'ADV'], ['ADP', 'DET', 'ADJ', 'NOUN'], ['ADV', 'NOUN', 'NOUN', 'ADP', 'PROPN'], ['ADP', 'NOUN', 'NOUN']]"
15,"['im städtchen giebt es des jubels viel', 'da halten sie hochzeit mit tanz und mit spiel', 'den fröhlichen blinket der wein so roth', 'die braut nur gleicht dem getünchten tod']","[[0.5, 1, 0, 1, 0.5, 0, 1, 0, 1], [1, 1, 0, 0.5, 1, 0.5, 0.5, 1, 0, 0.5, 1], [0, 1, 0, 0, 1, 0, 0, 1, 1, 0.5], [0, 1, 1, 1, 0, 0, 1, 0, 1]]","[[[0.5], [1, 0], [1], [0.5], [0], [1, 0], [1]], [[1], [1, 0], [0.5], [1, 0.5], [0.5], [1], [0], [0.5], [1]], [[0], [1, 0, 0], [1, 0], [0], [1], [1], [0.5]], [[0], [1], [1], [1], [0], [0, 1, 0], [1]]]","[['ɪm', 'ˈʃtɛtçən', 'ɡipt', 'ɛs', 'dɛs', 'ˈjubɛls', 'fil'], ['da', 'ˈhaltɛn', 'zi', 'ˈhɔxˌtsaɪt', 'mɪt', 'tants', 'ʊnt', 'mɪt', 'ʃpil'], ['den', 'ˈfʁølɪçɛn', 'ˈblɪŋkət', 'deɐ', 'vaɪn', 'zo', 'ʁot'], ['di', 'bʁaʊt', 'nuɐ', 'ɡlaɪçt', 'dem', 'ɡəˈtʏnçtɛn', 'tot']]","[['ADP', 'NOUN', 'VERB', 'PRON', 'DET', 'NOUN', 'ADV'], ['ADV', 'VERB', 'PRON', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADP', 'NOUN'], ['DET', 'ADJ', 'NOUN', 'DET', 'NOUN', 'ADV', 'PROPN'], ['DET', 'NOUN', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN']]"
16,"['ja todt für den den nicht sie vergißt', 'der doch beim fest nicht bräutigam ist', 'da steht er inmitten der gäste im krug', 'und streichet die geige lustig genug']","[[1, 1, 0.5, 0, 0.5, 0, 0.5, 0, 1], [0, 1, 0.5, 1, 0, 1, 0, 0, 0.5], [1, 1, 0.5, 0, 1, 0, 0, 1, 0, 0.5, 1], [0, 1, 0, 0, 1, 0, 1, 0, 0, 1]]","[[[1], [1], [0.5], [0], [0.5], [0], [0.5], [0, 1]], [[0], [1], [0.5], [1], [0], [1, 0, 0], [0.5]], [[1], [1], [0.5], [0, 1, 0], [0], [1, 0], [0.5], [1]], [[0], [1, 0], [0], [1, 0], [1, 0], [0, 1]]]","[['ja', 'tot', 'fyɐ', 'den', 'den', 'nɪçt', 'zi', 'fɛɐˈɡɪst'], ['deɐ', 'dɔx', 'baɪm', 'fɛst', 'nɪçt', 'ˈbʁɔɪtɪɡam', 'ɪst'], ['da', 'ʃtet', 'eɐ', 'ɪnˈmɪtɛn', 'deɐ', 'ˈɡɛstə', 'ɪm', 'kʁuk'], ['ʊnt', 'ˈʃtʁaɪçət', 'di', 'ˈɡaɪɡə', 'ˈlʊstɪç', 'ɡəˈnuk']]","[['ADV', 'ADV', 'ADP', 'DET', 'PRON', 'PART', 'PRON', 'VERB'], ['DET', 'ADV', 'ADP', 'ADV', 'PART', 'PROPN', 'AUX'], ['ADV', 'VERB', 'PRON', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN'], ['CCONJ', 'NOUN', 'DET', 'NOUN', 'ADV', 'ADV']]"
17,"['er streichet die geige sein haar ergraut', 'es springen die saiten gellend und laut', 'er drückt sie ans herz und achtet es nicht', 'ob auch sie in tausend stücke zerbricht']","[[0.5, 1, 0, 0, 1, 0, 0, 1, 0, 1], [0.5, 1, 0, 0, 1, 0, 1, 0, 0, 1], [0.5, 1, 0.5, 0.5, 1, 0, 1, 0, 0.5, 0], [0.5, 1, 0.5, 0.5, 1, 0, 1, 0, 0, 1]]","[[[0.5], [1, 0], [0], [1, 0], [0], [1], [0, 1]], [[0.5], [1, 0], [0], [1, 0], [1, 0], [0], [1]], [[0.5], [1], [0.5], [0.5], [1], [0], [1, 0], [0.5], [0]], [[0.5], [1], [0.5], [0.5], [1, 0], [1, 0], [0, 1]]]","[['eɐ', 'ˈʃtʁaɪçət', 'di', 'ˈɡaɪɡə', 'zaɪn', 'haɐ', 'ɛɐˈɡʁaʊt'], ['ɛs', 'ˈʃpʁɪŋən', 'di', 'ˈzaɪtɛn', 'ˈɡɛlənt', 'ʊnt', 'laʊt'], ['eɐ', 'dʁʏkt', 'zi', 'ans', 'hɛʁts', 'ʊnt', 'ˈaxtət', 'ɛs', 'nɪçt'], ['ɔp', 'aʊx', 'zi', 'ɪn', 'ˈtaʊzɛnt', 'ˈʃtʏkə', 'tsɛɐˈbʁɪçt']]","[['PRON', 'PROPN', 'DET', 'NOUN', 'DET', 'NOUN', 'VERB'], ['PRON', 'VERB', 'DET', 'NOUN', 'ADV', 'CCONJ', 'ADV'], ['PRON', 'VERB', 'PRON', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'PRON', 'PART'], ['SCONJ', 'ADV', 'PRON', 'ADP', 'NUM', 'NOUN', 'VERB']]"
18,"['es ist gar grausig wenn einer so stirbt', 'wann jung sein herz um freude noch wirbt', 'ich mag und will nicht länger es sehn ', 'das möchte den kopf mir schwindelnd verdrehn']","[[0.5, 0.5, 1, 1, 0, 0.5, 1, 0, 1, 1], [1, 1, 0, 1, 0.5, 1, 0, 0, 1], [0.5, 1, 0, 0.5, 0, 1, 0, 0.5, 1], [0.5, 1, 0, 0, 1, 0.5, 1, 0, 0, 1]]","[[[0.5], [0.5], [1], [1, 0], [0.5], [1, 0], [1], [1]], [[1], [1], [0], [1], [0.5], [1, 0], [0], [1]], [[0.5], [1], [0], [0.5], [0], [1, 0], [0.5], [1]], [[0.5], [1, 0], [0], [1], [0.5], [1, 0], [0, 1]]]","[['ɛs', 'ɪst', 'ɡaɐ', 'ˈɡʁaʊzɪç', 'vɛn', 'ˈaɪnɐ', 'zo', 'ʃtɪʁpt'], ['van', 'jʊŋ', 'zaɪn', 'hɛʁts', 'ʊm', 'ˈfʁɔɪdə', 'nɔx', 'vɪʁpt'], ['ɪç', 'mak', 'ʊnt', 'vɪl', 'nɪçt', 'ˈlɛŋɐ', 'ɛs', 'zen'], ['das', 'ˈmœçtə', 'den', 'kɔpf', 'miɐ', 'ˈʃvɪndɛlnt', 'fɛɐˈdʁen']]","[['PRON', 'AUX', 'ADV', 'ADV', 'ADP', 'PRON', 'ADV', 'VERB'], ['ADV', 'ADV', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'VERB'], ['PRON', 'VERB', 'CCONJ', 'AUX', 'PART', 'ADV', 'PRON', 'VERB'], ['PRON', 'AUX', 'DET', 'NOUN', 'PRON', 'ADV', 'PROPN']]"
19,"['wer heißt euch mit fingern zeigen auf mich', 'o gott bewahr uns gnädiglich', 'daß keinen der wahnsinn übermannt ', 'bin selber ein armer musikant']","[[0.5, 1, 0.5, 0.5, 1, 0, 1, 0, 0.5, 0.5], [0.5, 1, 0, 1, 0.5, 1, 0, 0], [0.5, 1, 0, 0, 1, 0, 0, 0, 1], [0.5, 1, 0, 0, 1, 0, 0, 0, 1]]","[[[0.5], [1], [0.5], [0.5], [1, 0], [1, 0], [0.5], [0.5]], [[0.5], [1], [0, 1], [0.5], [1, 0, 0]], [[0.5], [1, 0], [0], [1, 0], [0, 0, 1]], [[0.5], [1, 0], [0], [1, 0], [0, 0, 1]]]","[['veɐ', 'haɪst', 'ɔɪç', 'mɪt', 'ˈfɪŋɐn', 'ˈtsaɪɡɛn', 'aʊf', 'mɪç'], ['o', 'ɡɔt', 'bəˈvaɐ', 'ʊns', 'ˈɡnɛdɪklɪç'], ['das', 'ˈkaɪnən', 'deɐ', 'ˈvanzɪn', 'ybɐˈmant'], ['bɪn', 'ˈzɛlbɐ', 'aɪn', 'ˈaʁmɐ', 'muziˈkant']]","[['PRON', 'VERB', 'PRON', 'ADP', 'NOUN', 'VERB', 'ADP', 'PRON'], ['X', 'NOUN', 'ADV', 'PRON', 'ADV'], ['SCONJ', 'PRON', 'DET', 'NOUN', 'VERB'], ['AUX', 'ADV', 'DET', 'ADJ', 'NOUN']]"
