author;title;vers;Reimschema;
Schiller;Phantasie an Laura.;"Sonnenstäubchen paart mit Sonnenstäubchen
           Sich in trauter Harmonie,
       Sphären in einander lenkt die Liebe,
           Weltsysteme dauern nur durch sie.";abcb;
Schiller;Phantasie an Laura.;"Tilge sie vom Uhrwerk der Naturen –
           Trümmernd aus einander springt das All,
       In das Chaos donnern eure Welten,
           Weint, Newtone, ihren Riesenfall!";abcb;
Schiller;Phantasie an Laura.;"Tilg' die Göttin aus der Geister Orden,
           Sie erstarren in der Körper Tod;
       Ohne Liebe kehrt kein Frühling wieder,
           Ohne Liebe preist kein Wesen Gott!";abcb;Unsicher 
Schiller;Phantasie an Laura.;"Und was ist's, das, wenn mich Laura küsset,
           Purpurflammen auf die Wangen geußt,
       Meinem Herzen raschern Schwung gebietet,
           Fiebrisch wild mein Blut von hinnen reißt?";abcb;
Schiller;Phantasie an Laura.;"Aus den Schranken schwellen alle Sehnen,
           Seine Ufer überwallt das Blut,
       Körper will in Körper über stürzen,
           Lodern Seelen in vereinter Gluth.";abcb;
Schiller;Phantasie an Laura.;"Gleich allmächtig, wie dort in der todten
           Schöpfung ew'gem Federtrieb,
       Herrschet im arachneischen Gewebe
           Der empfindenden Natur die Lieb'.";abcb;
Schiller;Phantasie an Laura.;"Siehe, Laura, Fröhlichkeit umarmet
           Wilder Schmerzen Überschwung;
       An der Hoffnung Liebesbrust erwarmet
           Starrende Verzweifelung.";abab;Unsicher 
Schiller;Phantasie an Laura.;"Schwesterliche Wollust mildert
           Düstrer Schwermuth Schauernacht,
       Und, entbunden von den goldnen Kindern,
           Strahlt das Auge Sonnenpracht.";abcb;
Schiller;Phantasie an Laura.;"Waltet nicht auch durch des Übels Reiche
           Fürchterliche Sympathie?
       Mit der Hölle buhlen unsre Laster,
           Mit dem Himmel grollen sie.";abcb;
Schiller;Phantasie an Laura.;"Um die Sünde flechten Schlangenwirbel
           Scham und Reu', das Eumenidenpaar,
       Um der Größe Adlerflügel windet
           Sich verräthrisch die Gefahr.";abcb;
Schiller;Phantasie an Laura.;"Mit dem Stolze pflegt der Sturz zu tändeln,
           Um das Glück zu klammern sich der Neid,
       Ihrem Bruder Tode zuzuspringen,
        Offnen Armes, Schwester Lüsternheit.";abcb;
Schiller;Phantasie an Laura.;"Mit der Liebe Flügel eilt die Zukunft
           In die Arme der Vergangenheit,
       Lange sucht der fliehende Saturnus
           Seine Braut – die Ewigkeit.";abcb;
Schiller;Phantasie an Laura.;"Einst – so hör' ich das Orakel sprechen –,
           Einsten hascht Saturn die Braut;
       Weltenbrand wird Hochzeitfackel werden,
           Wenn mit Ewigkeit die Zeit sich traut.";abcb;
Schiller;Phantasie an Laura.;"Eine schönere Aurora röthet,
           Laura, dann auch unsre Liebe sich,
       Die so lang als Jener Brautnacht dauert,
           Laura! Laura! freue dich!";abcb;
Schiller;Laura am Klavier.;"Wenn dein Finger durch die Saiten meistert,
       Laura, jetzt zur Statue entgeistert,
           Jetzt entkörpert steh' ich da.
       Du gebietest über Tod und Leben,
       Mächtig, wie von tausend Nervgeweben
           Seelen fordert Philadelphia.";aabccb;
Schiller;Laura am Klavier.;"Ehrerbietig leiser rauschen
       Dann die Lüfte, dir zu lauschen;
           Hingeschmiedet zum Gesang
           Stehn im ew'gen Wirbelgang,
       Einzuziehn die Wonnefülle,
       Lauschende Naturen stille.
           Zauberin! mit Tönen, wie
           Mich mit Blicken, zwingst du sie.";aabbccdd;
Schiller;Laura am Klavier.;"Seelenvolle Harmonien wimmeln,
           Ein wollüstig Ungestüm,
       Aus den Saiten, wie aus ihren Himmeln
           Neugeborne Seraphim;
       Wie, des Chaos Riesenarm entronnen,
       Aufgejagt vom Schöpfungssturm, die Sonnen
           Funkelnd fuhren aus der Nacht,
           Strömt der Töne Zaubermacht.";abacddee;Unsicher 
Schiller;Laura am Klavier.;"Lieblich jetzt, wie über glatten Kieseln
       Silberhelle Fluthen rieseln,
           Majestätisch prächtig nun,
           Wie des Donners Orgelton,
       Stürmend von hinnen jetzt, wie sich von Felsen
       Rauschende, schäumende Gießbäche wälzen,
           Holdes Gesäusel bald,
               Schmeichlerisch linde,
           Wie durch den Espenwald
               Buhlende Winde,";aabbccdede;
Schiller;Laura am Klavier.;"Schwerer nun und melancholisch düster,
       Wie durch todter Wüsten Schauernachtgeflüster,
           Wo verlornes Heulen schweift,
           Thränenwellen der Cocytus schleift.";aabb;
Schiller;Laura am Klavier.;"Mädchen, sprich! Ich frage, gib mir Kunde:
       Stehst mit höhern Geistern du im Bunde?
           Ist's die Sprache, lüg mir nicht,
           Die man in Elysen spricht?";aabb;
Schiller;Die Entzückung an Laura.;"Laura, über diese Welt zu flüchten
       Wähn' ich – mich in Himmelmaienglanz zu lichten,
           Wenn dein Blick in meine Blicke flimmt;
       Ätherlüfte träum' ich einzusaugen,
       Wenn mein Bild in deiner sanften Augen
           Himmelblauem Spiegel schwimmt.";aabccb;
Schiller;Die Entzückung an Laura.;"Leierklang aus Paradieses Fernen,
       Harfenschwung aus angenehmern Sternen
           Ras' ich in mein trunknes Ohr zu ziehn;
       Meine Muse fühlt die Schäferstunde,
       Wenn von deinem wollustheißen Munde
           Silbertöne ungern fliehn.";aabccb;
Schiller;Die Entzückung an Laura.;"Amoretten seh' ich Flügel schwingen,
       Hinter dir die trunknen Fichten springen,
           Wie von Orpheus' Saitenruf belebt;
       Rascher rollen um mich her die Pole,
       Wenn im Wirbeltanze deine Sohle
           Flüchtig, wie die Welle, schwebt.";aabccb;
Schiller;Die Entzückung an Laura.;"Deine Blicke – wenn sie Liebe lächeln,
       Könnten Leben durch den Marmor fächeln,
           Felsenadern Pulse leihn;
       Träume werden um mich her zu Wesen,
       Kann ich nur in deinen Augen lesen:
           Laura, Laura mein.";aabccb;
Schiller;Das Geheimnis der Reminiszenz. - An Laura.;"Ewig starr an deinem Mund zu hangen,
       Wer enthüllt mir dieses Gluthverlangen?
       Wer die Wollust, deinen Hauch zu trinken,
       In dein Wesen, wenn sich Blicke winken,
                     Sterbend zu versinken?";aabbb;
Schiller;Das Geheimnis der Reminiszenz. - An Laura.;"Fliehen nicht, wie ohne Widerstreben
       Sklaven an den Sieger sich ergeben,
       Meine Geister hin im Augenblicke,
       Stürmend über meines Lebens Brücke,
                     Wenn ich dich erblicke?";aabbb;Unsicher 
Schiller;Das Geheimnis der Reminiszenz. - An Laura.;"Sprich! warum entlaufen sie dem Meister?
       Suchen dort die Heimath meine Geister?
       Oder finden sich getrennte Brüder,
       Losgerissen von dem Band der Glieder,
                     Dort bei dir sich wieder?";aabbb;
Schiller;Das Geheimnis der Reminiszenz. - An Laura.;"Waren unsre Wesen schon verflochten?
       War es darum, daß die Herzen pochten?
       Waren wir im Strahl erloschner Sonnen,
       In den Tagen lang verrauschter Wonnen,
                     Schon in Eins zerronnen?";aabbb;
Schiller;Das Geheimnis der Reminiszenz. - An Laura.;"Ja, wir waren's! – Innig mir verbunden
       Warst du in Äonen, die verschwunden;
       Meine Muse sah es auf der trüben
       Tafel der Vergangenheit geschrieben:
                     Eins mit deinem Lieben!";aabbb;
Schiller;Das Geheimnis der Reminiszenz. - An Laura.;"Und in innig festverbundnem Wesen,
       Also hab' ich's staunend dort gelesen,
       Waren wir ein 
      Gott, ein schaffend Leben,
       Und uns ward, sie herrschend zu durchweben,
                     Frei die Welt gegeben.";aabaaa;
Schiller;Das Geheimnis der Reminiszenz. - An Laura.;"Uns entgegen gossen Nektarquellen
       Ewig strömend ihre Wollustwellen;
       Mächtig lösten wir der Dinge Siegel,
       Zu der Wahrheit lichtem Sonnenhügel
                     Schwang sich unser Flügel.";aabbb;
Schiller;Das Geheimnis der Reminiszenz. - An Laura.;"Weine, Laura! dieser Gott ist nimmer,
       Du und ich des Gottes schöne Trümmer,
       Und in uns ein unersättlich Dringen,
       Das verlorne Wesen einzuschlingen,
                     Gottheit zu erschwingen.";aabbb;
Schiller;Das Geheimnis der Reminiszenz. - An Laura.;"Darum, Laura, dieses Gluthverlangen,
       Ewig starr an deinem Mund zu hangen,
       Und die Wollust, deinen Hauch zu trinken,
       In dein Wesen, wenn sich Blicke winken,
                     Sterbend zu versinken.";aabbb;
Schiller;Das Geheimnis der Reminiszenz. - An Laura.;"Darum fliehn, wie ohne Widerstreben
       Sklaven an den Sieger sich ergeben,
       Meine Geister hin im Augenblicke,
       Stürmend über meines Lebens Brücke,
                     Wenn ich dich erblicke.";aabbb;
Schiller;Das Geheimnis der Reminiszenz. - An Laura.;"Darum nur entlaufen sie dem Meister,
       Ihre Heimath suchen meine Geister,
       Losgerafft vom Kettenband der Glieder,
       Küssen sich die langgetrennten Brüder
                     Wiederkennend wieder.";aabbb;
Schiller;Das Geheimnis der Reminiszenz. - An Laura.;"Und auch du – da mich dein Auge spähte,
       Was verrieth der Wangen Purpurröthe?
       Flohn wir nicht, als wären wir verwandter,
       Freudig, wie zur Heimath ein Verbannter,
                     Glühend an einander?";aabbb;
Schiller;Melancholie an Laura.;"    Laura – Sonnenaufgangsgluth
       Brennt in deinen goldnen Blicken,
           In den Wangen springt purpurisch Blut,
           Deiner Thränen Perlenfluth
       Nennt noch Mutter das Entzücken –
           Dem der schöne Tropfe thaut,
           Der darin Vergöttrung schaut,
       Ach, dem Jüngling, der belohnet wimmert,
       Sonnen sind ihm aufgedämmert!";abaabccdd;
Schiller;Melancholie an Laura.;"Deine Seele, gleich der Spiegelwelle
       Silberklar und Sonnenhelle,
           Maiet noch den trüben Herbst um dich;
           Wüsten, öd' und schauerlich,
       Lichten sich in deiner Strahlenquelle;
       Düstrer Zukunft Nebelferne
       Goldet sich in deinem Sterne;
           Lächelst du der Reize Harmonie?
           Und ich weine über sie. –";aabbaccdd;
Schiller;Melancholie an Laura.;"Untergrub denn nicht der Erde Feste
           Lange schon das Reich der Nacht?
       Unsre stolz aufthürmenden Paläste,
           Unsrer Städte majestät'sche Pracht
       Ruhen all' auf modernden Gebeinen;
           Deine Nelken saugen süßen Duft
       Aus Verwesung; deine Quellen weinen
           Aus dem Becken einer – Menschengruft.";ababcdcd;
Schiller;Melancholie an Laura.;"Blick' empor – die schwimmenden Planeten
       Laß dir, Laura, seine Welten reden!
           Unter ihrem Zirkel flohn
           Tausend bunte Lenze schon,
       Thürmten tausend Throne sich,
       Heulten tausend Schlachten fürchterlich.
           In den eisernen Fluren
           Suche ihre Spuren!
       Früher, später reif zum Grab,
       Laufen, ach, die Räder ab
           An Planetenuhren.";aabbccddeed;
Schiller;Melancholie an Laura.;"    Blinze dreimal – und der Sonnen Pracht
           Löscht im Meer der Todtennacht!
       Frage mich, von wannen 
      deine Strahlen lodern!
           Prahlst du mit des Auges Gluth?
           Mit der Wangen frischem Purpurblut,
       Abgeborgt von mürben Modern?
           Wuchernd fürs geliehne Roth,
           Wuchernd, Mädchen, wird der Tod
       Schwere Zinsen fodern!";aabcddceef;Unsicher 
Schiller;Melancholie an Laura.;"Rede, Mädchen, nicht dem Starken Hohn!
           Eine schönre Wangenröthe
       Ist doch nur des Todes schönrer Thron;
           Hinter dieser blumigten Tapete
       Spannt den Bogen der Verderber schon –
       Glaub' es – glaub' es, Laura, deinem Schwärmer:
           Nur der Tod ist's, dem dein schmachtend Auge winkt;
           Jeder deiner Strahlenblicke trinkt
       Deines Lebens karges Lämpchen ärmer;
           Meine Pulse, prahlest du,
       Hüpfen noch so jugendlich von dannen –
       Ach! die Kreaturen des Tyrannen
           Schlagen tückisch der Verwesung zu.";abacadeedfggf;Richtig?
Schiller;Melancholie an Laura.;"    Auseinander bläst der Tod geschwind
           Dieses Lächeln, wie der Wind
       Regenbogenfarbigtes Geschäume.
           Ewig fruchtlos suchst du seine Spur,
           Aus dem Frühling der Natur,
       Aus dem Leben, wie aus seinem Keime,
           Wächst der ew'ge Würger nur.";aabccdc;
Schiller;Melancholie an Laura.;"Weh! entblättert seh' ich deine Rosen liegen,
           Bleich erstorben deinen süßen Mund,
           Deiner Wangen wallendes Rund
       Werden rauhe Winterstürme pflügen,
           Düstrer Jahre Nebelschein
       Wir der Jugend Silberquelle trüben,
       Dann wird Laura – Laura nicht mehr lieben,
           Laura nicht mehr liebenswürdig sein.";abbcdcad;
Schiller;Melancholie an Laura.;"Mädchen – stark wie Eiche stehet noch dein Dichter;
           Stumpf an meiner Jugend Felsenkraft
           Niederfällt des Todtenspeeres Schaft;
       Meine Blicke – brennend wie die Lichter
           Seines Himmels – feuriger mein Geist
       Denn die Lichter seines ew'gen Himmels,
       Der im Meere eignen Weltgewimmels
           Felsen thürmt und niederreißt;
       Kühn durchs Weltall steuern die Gedanken,
       Fürchten nichts – als seine Schranken.";abbacddcee;
Schiller;Melancholie an Laura.;"Glühst du, Laura? Schwillt die stolze Brust?
       Lern' es, Mädchen, dieser Traum der Lust,
           Dieser Kelch, woraus mir Gottheit düftet –
           Laura – ist vergiftet!
       Unglückselig! unglückselig! die es wagen,
      
Götterfunken aus dem 
      Staub zu schlagen.
           Ach! die kühnste Harmonie
       Wirft das Saitenspiel zu Trümmer,
           Und der lohe Ätherstrahl 
      Genie
 Nährt sich nur vom Lebenslampenschimmer –
           Wegbetrogen von des Lebens Thron,
           Frohnt ihm jeder Wächter schon!
       Ach! schon schwören sich, mißbraucht zu frechen Flammen,
       Meine Geister wider mich zusammen!
       Laß – ich fühl's – laß, Laura, noch zween kurze
           Lenze fliegen – und dies Moderhaus
       Wiegt sich schwankend über mir zum Sturze,
           Und in eignem Strahle lösch' ich aus. – –";aabbcdcefg;Unsicher
Schiller;Melancholie an Laura.;"Weinst du, Laura? – Thräne, sei verneinet,
       Die des Alters Strafloos mir erweinet!
           Weg! versiege, Thräne, Sünderin!
       Laura will, daß meine Kraft entweiche,
       Daß ich zitternd unter dieser Sonne schleiche,
           Die des Jünglings Adlergang gesehn? –
       Daß des Busens lichte Himmelsflamme
       Mit erfrornem Herzen ich verdamme,
       Daß die Augen meines Geists verblinden,
       Daß ich fluche meinen schönsten Sünden?
           Nein! versiege, Thräne, Sünderin! –
       Brich die Blume in der schönsten Schöne,
       Lösch', o Jüngling mit der Trauermiene,
           Meine Fackel weinend aus;
       Wie der Vorhang an der Trauerbühne
       Niederrauschet bei der schönsten Scene,
           Fliehn die Schatten – und noch schweigend horcht das Haus. –";aabccdeefhijklkml;Unsicher 
Schiller;Die Kindsmörderin.;"Horch – die Glocken hallen dumpf zusammen,
           Und der Zeiger hat vollbracht den Lauf,
       Nun, so sei's denn! – Nun, in Gottes Namen!
           Grabgefährten, brecht zum Richtplatz auf.
       Nimm, o Welt, die letzten Abschiedsküsse!
           Diese Thränen nimm, o Welt, noch hin!
       Deine Gifte – o, sie schmeckten süße! –
           Wir sind quitt, du Herzvergifterin!";ababcdcd;
Schiller;Die Kindsmörderin.;"Fahret wohl, ihr Freuden dieser Sonne,
           Gegen schwarzen Moder umgetauscht!
       Fahre wohl, du Rosenzeit voll Wonne,
           Die so oft das Mädchen lustberauscht!
       Fahret wohl, ihr goldgewebten Träume,
           Paradieseskinder, Phantasien!
       Weh! sie starben schon im Morgenkeime,
           Ewig nimmer an das Licht zu blühn.";ababcdcd;
Schiller;Die Kindsmörderin.;"Schön geschmückt mit rosenrothen Schleifen,
           Deckte mich der Unschuld Schwanenkleid,
       In der blonden Locken loses Schweifen
           Waren junge Rosen eingestreut.
       Wehe! – die Geopferte der Hölle
           Schmückt noch jetzt das weißliche Gewand;
       Aber, ach! – der Rosenschleifen Stelle
           Nahm ein schwarzes Todtenband.";ababcdcd;
Schiller;Die Kindsmörderin.;"Weinet um mich, die ihr nie gefallen,
           Denen noch der Unschuld Liljen blühn,
       Denen zu dem weichen Busenwallen
           Heldenstärke die Natur verliehn!
       Wehe! – menschlich hat dies Herz empfunden!
           Und Empfindung soll mein Richtschwert sein!
       Weh! vom Arm des falschen Manns umwunden,
           Schlief Luisens Tugend ein.";ababcdcd;
Schiller;Die Kindsmörderin.;"Ach, vielleicht umflattert eine Andre,
           Mein vergessen, dieses Schlangenherz,
       Überfließt, wenn ich zum Grabe wandre,
           An dem Putztisch in verliebten Scherz!
       Spielt vielleicht mit seines Mädchens Locke,
           Schlingt den Kuß, den sie entgegenbringt,
       Wenn, verspritzt auf diesem Todesblocke,
           Hoch mein Blut vom Rumpfe springt.";ababcdcd;
Schiller;Die Kindsmörderin.;"Joseph! Joseph! auf entfernte Meilen
           Folge dir Luisens Todtenchor,
       Und des Glockenthurmes dumpfes Heulen
           Schlage schrecklich mahnend an dein Ohr –
       Wenn von eines Mädchens weichem Munde
           Dir der Liebe sanft Gelispel quillt,
       Bohr' es plötzlich eine Höllenwunde
           In der Wollust Rosenbild!";ababcdcd;
Schiller;Die Kindsmörderin.;"Ha, Verräther! nicht Luisens Schmerzen?
           Nicht des Weibes Schande, harter Mann?
       Nicht das Knäblein unter meinem Herzen?
           Nicht was Löw' und Tiger schmelzen kann?
       Seine Segel fliegen stolz vom Lande!
           Meine Augen zittern dunkel nach;
       Um die Mädchen an der 
      Seine Strande
           Winselt er sein falsches Ach!";ababcdecd;
Schiller;Die Kindsmörderin.;"Und das Kindlein – in der Mutter Schooße
           Lag es da in süßer, goldner Ruh,
       In dem Reiz der jungen Morgenrose
           Lachte mir der holde Kleine zu –
       Tödtlichlieblich sprach aus allen Zügen
           Sein geliebtes theures Bild mich an,
       Den beklommnen Mutterbusen wiegen
           Liebe und – Verzweiflungswahn.";ababcdcd;
Schiller;Die Kindsmörderin.;"Weib, wo ist mein Vater? lallte
           Seiner Unschuld stumme Donnersprach';
       Weib, wo ist dein Gatte? hallte
           Jeder Winkel meines Herzens nach –
       Weh! umsonst wirst, Waise du ihn suchen,
           Der vielleicht schon andre Kinder herzt,
       Wirst der Stunde unsres Glückes fluchen,
           Wenn dich einst der Name Bastard schwärzt.";ababcdcd;
Schiller;Die Kindsmörderin.;"Deine Mutter – o, im Busen Hölle! –
           Einsam sitzt sie in dem All der Welt,
       Durstet ewig an der Freudenquelle,
           Die dein Anblick fürchterlich vergällt.
       Ach, mit jedem Laut von dir erklingen
           Schmerzgefühle des vergangnen Glücks,
       Und des Todes bittre Pfeile dringen
           Aus dem Lächeln deines Kinderblicks.";ababcdcd;
Schiller;Die Kindsmörderin.;"Hölle, Hölle, wo ich dich vermisse,
           Hölle, wo mein Auge dich erblickt!
       Eumenidenruthen deine Küsse,
           Die von 
      seinen Lippen mich entzückt!
       Seine Eide donnern aus dem Grabe wieder,
           Ewig, ewig würgt sein Meineid fort,
       Ewig – hier umstrickte mich die Hyder –
           Und vollendet war der Mord.";abacbdede;Unsicher
Schiller;Die Kindsmörderin.;"Joseph! Joseph! auf entfernte Meilen
           Jage dir der grimme Schatten nach,
       Mög' mit kalten Armen dich ereilen,
           Donnre dich aus Wonneträumen wach;
       Im Geflimmer sanfter Sterne zucke
           Dir des Kindes grasser Sterbeblick,
       Es begegne dir im blut'gen Schmucke,
           Geißle dich vom Paradies zurück.";ababcdcd;
Schiller;Die Kindsmörderin.;"Seht! da lag's entseelt zu meinen Füßen, –
           Kalt hinstarrend, mit verworrnem Sinn
       Sah ich seines Blutes Ströme fließen,
           Und mein Leben floß mit ihm dahin! –
       Schrecklich pocht' schon des Gerichtes Bote,
           Schrecklicher mein Herz!
       Freudig eilt' ich, in dem kalten Tode
           Auszulöschen meinen Flammenschmerz.";ababcdcd;
Schiller;Die Kindsmörderin.;"Joseph! Gott im Himmel kann verzeihen,
           Dir verzeiht die Sünderin.
       Meinen Groll will ich der Erde weihen,
           Schlage, Flamme, durch den Holzstoß hin! –
       Glücklich! glücklich! Seine Briefe lodern,
           Seine Eide frißt ein siegend Feu'r,
       Seine Küsse! – wie sie hochan flodern! –
           Was auf Erden war mir einst so theu'r?";ababcdcd;
Schiller;Die Kindsmörderin.;"Trauet nicht den Rosen eurer Jugend,
           Trauet, Schwestern, Männerschwüren nie!
       Schönheit war die Falle meiner Tugend,
           Auf der Richtstatt hier verfluch' ich sie! –
       Zähren? Zähren in des Würgers Blicken?
           Schnell die Binde um mein Angesicht!
       Henker, kannst du keine Lilje knicken?
           Bleicher Henker, zittre nicht!";ababcdcd;
Schiller;Die Größe der Welt.;"Die der schaffende Geist einst aus dem Chaos schlug,
       Durch die schwebende Welt flieg' ich des Windes Flug,
                   Bis am Strande
                   Ihrer Wogen ich lande,
       Anker werf', wo kein Hauch mehr weht
       Und der Markstein der Schöpfung steht.";aabbcc;
Schiller;Die Größe der Welt.;"Sterne sah ich bereits jugendlich auferstehn,
       Tausendjährigen Gangs durchs Firmament zu gehn,
                   Sah sie spielen
                   Nach den lockenden Zielen;
       Irrend suchte mein Blick umher,
       Sah die Räume schon – sternenleer.";aabbcc;
Schiller;Die Größe der Welt.;"Anzufeuern den Flug weiter zum Reich des Nichts,
       Steur' ich muthiger fort, nehme den Flug des Lichts,
                   Neblicht trüber
                   Himmel an mir vorüber,
       Weltsysteme, Fluthen im Bach,
       Strudeln dem Sonnenwandrer nach.";aabbcc;
Schiller;Die Größe der Welt.;"Sieh, den einsamen Pfad wandelt ein Pilger mir
       Rasch entgegen – »Halt an! Waller, was suchst du hier?«
                   »»Zum Gestade
                   Seiner Welt meine Pfade!
       Segle hin, wo kein Hauch mehr weht
       Und der Markstein der Schöpfung steht!««";aabbcc;
