word,rythm
himmelsheimath,[1.  0.  0.5 0. ]
schwanenhüll,[1.  0.  0.5]
zauberhain,[1.  0.  0.5]
samenkorn,[1.  0.  0.5]
feenschloß,[1.  0.5]
wolkenroß,[1.  0.  0.5]
kinderhaufe,[1.  0.  0.5 0. ]
rosenschiffchen,[1.  0.  0.5 0. ]
geistersee,[1.  0.  0.5]
zaubergarten,[1.  0.  0.5 0. ]
schwanenhülle,[1.  0.  0.5 0. ]
vielbewegten,[1.  0.  0.5 0. ]
grabeshügel,[1.  0.  0.5 0. ]
pilgerbahn,[1.  0.  0.5]
abendstrahle,[1.  0.  0.5 0. ]
fittig,[1. 0.]
schlummerlied,[1.  0.5 0. ]
mächt,[0.5]
heimath,[1. 0.]
thut,[0.5]
theure,[1. 0.]
gewußt,[0. 1.]
wildniß,[1. 0.]
thule,[1. 0.]
ungestört,[1.  0.  0.5]
muntrer,[1. 0. 0.]
meerestiefen,[1.  0.  0.5 0. ]
mußten,[1. 0.]
blum,[0.5]
meeresfluthen,[1.  0.  0.5 0. ]
thier,[0.5]
ertödtend,[0. 1. 0.]
blüthen,[1.]
haide,[1. 0.]
ersproß,[0. 1.]
geschaart,[0. 1.]
liederreich,[1. 0. 0.]
hochgeehret,[1.  0.  0.5 0. ]
methhorn,[1. 0. 0.]
geleeret,[0. 1. 0.]
skagen,[1. 0.]
gepflanzet,[0. 1. 0.]
ritterzeit,[1.  0.  0.5]
niels,[0.5]
ebbesen,[1. 0. 0.]
haidbewachs,[1.  0.  0.5]
bautasteine,[1.  0.  0.5 0. ]
regenstrom,[1.  0.  0.5]
haidekraut,[1.  0.  0.5]
haid,[0.5]
roat,[0.5]
sammtnen,[1. 0.]
preciosa,[0. 1. 0.]
wacholderstrauch,[0.  1.  0.  0.5]
rothgelb,[1. 0. 0.]
läg,[0.5]
geformet,[0.5 1.  0. ]
mäntelumhüllt,[1.  0.  0.  0.5]
bläs,[0.5]
wirthin,[1. 0.]
häßlichen,[1. 0. 0.]
trocknem,[1. 0.]
bläset,[1. 0.]
röthlichen,[1. 0. 0. 0.]
haiden,[1. 0.]
herzensmutter,[1.  0.  0.5 0. ]
immerfort,[1.  0.  0.5]
herzmutter,[1.  0.  0.5]
ruhn,[0.5]
flügelpaar,[1.  0.  0.5]
galgenpfahl,[1.  0.  0.5]
blaß,[0.5]
hälmchen,[1. 0.]
gränzen,[1. 0.]
spiegelklar,[1.  0.  0.5]
kugelrund,[1.  0.  0.5]
runzlich,[1. 0.]
steu,[0.5]
erfaßt,[0. 1.]
todtenschiff,[1.  0.  0.5]
unserm,[1.  0.5]
brod,[0.5]
fischerböte,[1. 0. 0. 0.]
ruderschlägen,[1.  0.  0.5 0. ]
riesenhoch,[1.  0.  0.5]
wogendrang,[1.  0.  0.5]
mastbaum,[1.  0.5]
gestad,[0. 1.]
nde,[0.5]
orgelklang,[1.  0.  0.5]
lagerschicht,[1.  0.  0.5]
aequators,[0. 1. 0.]
gluthen,[0. 1.]
niederhängen,[1.  0.  0.5 0. ]
tiefgerührt,[1.  0.  0.5]
menschenbrust,[1.  0.  0.5]
hinstreichend,[1.  0.5 0. ]
bewundrungswürdig,[0.  1.  0.  0.5 0. ]
weltgewimmel,[1.  0.  0.5 0. ]
unermeßlichen,[0.5 0.  0.  1.  0. ]
unbegriff,[1.  0.  0.5]
faß,[0.5]
cherubschwingen,[1.  0.  0.5 0. ]
faßt,[0.5]
kämmerlein,[1. 0. 0.]
jeglich,[1. 0.]
seelig,[1. 0.]
abendroth,[1.  0.5]
blümelein,[1. 0. 0.]
todten,[1. 0.]
gallopade,[0. 1. 0. 0.]
eisstück,[1.  0.5]
contretanz,[0. 0. 1.]
bescheidner,[0. 1. 0.]
morten,[1. 0.]
sternenbahnen,[1.  0.  0.5 0. ]
thurm,[0.5]
schaur,[0.5]
qedlinburg,[1.  0.  0.5]
rinaldini,[0. 0. 1. 0.]
schobri,[1. 0.]
schinderhannes,[1.  0.5 0.  0. ]
albini,[0. 1. 0.]
grabgeläute,[1.  0.  0.5 0. ]
thät,[0.5]
gränze,[1. 0.]
pescherähs,[1.  0.5]
feuerlande,[1.  0.  0.5 0. ]
mondenlichte,[1.  0.  0.5 0. ]
matthison,[1. 0. 0. 0.]
aermste,[1. 0.]
mißt,[0.5]
promeniret,[0. 0. 0. 1.]
spinneweben,[1.  0.  0.5 0. ]
ballkostüm,[1.  0.  0.  0.5]
fledermäuseflügeln,[1.  0.  0.5 0.  0.  0.5 0. ]
karosse,[0. 1. 0.]
poltron,[1. 0.]
muthe,[1. 0.]
geisterheer,[1.  0.  0.5]
hülflos,[1. 0. 0.]
andrer,[1. 0.]
heldenherz,[1.  0.  0.5]
geberde,[0. 1. 0.]
andre,[1. 0.]
loher,[1. 0.]
heerde,[1. 0. 0.]
lockenhaar,[1.  0.  0.5]
sterb,[0.5]
engelsbild,[1.  0.  0.5]
käthchen,[1. 0.]
scene,[0.5]
abentheuer,[1.  0.5]
thräne,[1. 0.]
engelskindlein,[1.  0.  0.5 0. ]
knab,[0.5]
naß,[0.5]
feuerheiß,[1.  0.  0.5]
thränen,[1. 0.]
rung,[0.5]
blüthe,[1. 0.]
gesä,[1. 0.]
todtenbahr,[1.  0.  0.5]
fluß,[0.5]
schriftgelehrt,[1.  0.5 0. ]
cedern,[1. 0.]
geweihet,[0. 1. 0.]
sterbekleid,[1.  0.  0.5]
freud,[0.5]
lindrung,[1. 0.]
gefaßt,[0. 1.]
umfaßt,[1.  0.5]
hingewandt,[1.  0.  0.5]
erwiedert,[0. 1. 0.]
zurecht,[1.  0.5]
unsres,[1. 0.]
dankerfüllt,[1.  0.  0.5]
theurer,[1. 0.]
geschöpfet,[0. 1. 0.]
eigenthum,[1. 0. 0.]
selt,[0.5]
todesruhe,[1.  0.  0.5 0. ]
mißgeschick,[1.  0.  0.5]
glaubensmuth,[1.  0.  0.5]
prüfungszeit,[1.  0.  0.5]
balsamischen,[0. 1. 0. 0.]
dichterbrust,[1.  0.  0.5]
hoffnungs,[1. 0.]
laubgezelt,[1.  0.  0.5]
deß,[0.5]
bescheert,[0. 1.]
stubenthür,[1.  0.  0.5 0. ]
geseh,[0. 1.]
viggo,[1.]
weihnachtsgaben,[1.  0.  0.5 0. ]
kinderschaar,[1.  0.  0.5]
erwartungsvoll,[0.  1.  0.  0.5]
gemalet,[0. 1. 0.]
freundeshause,[1.  0.  0.5 0. ]
theilnehmend,[1.  0.5 0. ]
anschau,[1. 0.]
junggesell,[1.  0.  0.5]
vergiß,[0. 1.]
schlossessaale,[1.  0.5 0.  0. ]
palm,[0.5]
mutterpflicht,[1.  0.  0.5]
liebesbeben,[1.  0.  0.5 0. ]
herzensblut,[1.  0.  0.5]
ueberall,[1.  0.  0.5]
louise,[1. 0.]
les,[0.5]
videri,[0. 1. 0.]
betise,[0. 1. 0.]
beherz,[0. 1.]
schmeichlermund,[1.  0.5 0. ]
dän,[0.5]
winterlust,[1.  0.  0.5]
weihnachtsfreud,[1.  0.  0.5]
himmelszelte,[1.  0.  0.5 0. ]
entglommen,[0. 1. 0.]
leissingend,[1.  0.5 0. ]
sternenheer,[1.  0.  0.5]
todte,[1. 0.]
nebelleicht,[1.  0.  0.5]
linnenweiß,[1.  0.  0.5]
todtenhaine,[1.  0.  0.5 0. ]
mondenschimmer,[1.  0.  0.5 0. ]
weihnachtstern,[1.  0.  0.5]
vogelsang,[1.  0.  0.5]
blumenrain,[1.  0.  0.5]
schlingkraut,[1.  0.5]
wandelgang,[1.  0.  0.5]
künstlerzug,[1.  0.  0.5]
rubens,[1. 0.]
frühspaziergang,[1.  0.  0.5 0. ]
beseh,[0. 1.]
bildniß,[1. 0.]
ehrwürd,[1.  0.5]
bewunderungentbrannt,[0.  1.  0.  0.  0.  0.5]
irrthum,[1. 0.]
himmelsfrüchte,[1.  0.  0.5 0. ]
palett,[0. 1.]
zornberückt,[1.  0.  0.5]
sonnenklar,[1.  0.  0.5]
ohn,[0.5]
wermuthstrank,[1.  0.  0.5]
rem,[0.5]
freistatt,[1.  0.5]
lockung,[1. 0.]
unsterblichkeitsbekränzung,[1.  0.  0.  0.  0.  0.  0.5 0. ]
allhier,[0. 1.]
theilte,[1. 0.]
werktagsrede,[1.  0.  0.5 0. ]
grübelein,[1.  0.5]
fluthen,[1. 0.]
schoos,[1.]
blos,[0.5]
geräth,[0. 1.]
wehmuthvoll,[1.  0.  0.5]
loos,[0.5]
grabschrift,[1.  0.5]
warest,[1. 0.]
hätt,[0.5]
rischem,[1. 0.]
suppentopf,[1.  0.5]
wußt,[0.5]
heerdes,[1. 0. 0.]
lene,[1. 0.]
ergieb,[0. 1.]
goldnen,[1. 0.]
vergess,[0. 1. 0.]
jugendlächeln,[1.  0.  0.5 0. ]
engelrein,[1.  0.  0.5]
gemüth,[0. 1.]
felsenkamm,[1.  0.  0.5]
weltendrama,[1.  0.  0.5 0. ]
kümm,[0.5]
scepter,[1. 0.]
verschen,[0. 1.]
pernille,[0. 1. 0.]
holberg,[1. 0.]
nachtigal,[1.  0.  0.5]
umziehtag,[1.  0.5 0. ]
gefolg,[0. 1.]
schooß,[0.5]
tageblatte,[1.  0.  0.5 0. ]
rosenflor,[1.  0.  0.5]
mußte,[1. 0.]
rückert,[1. 0.]
umhegung,[0. 1. 0.]
buchstab,[1.  0.5]
dichterkarten,[1.  0.  0.5 0. ]
muschelthier,[1.  0.  0.5]
dänensohn,[1.  0.  0.5]
brech,[0.5]
thorwaldsen,[1.  0.5 0. ]
stümpfchen,[1. 0.]
paßt,[0.5]
taglioni,[1. 0.]
seinestadt,[1.  0.  0.5]
sandt,[0.5]
nordes,[1. 0.]
meeresschaum,[1.  0.  0.5]
spätern,[1. 0.]
herzensmelodieen,[1.  0.  0.  0.  0.5 0. ]
poesieen,[0.5 0.  1.  0. ]
allezeit,[0. 1. 0.]
urtheil,[1. 0.]
mög,[0.5]
lilienrein,[1.  0.  0.  0.5]
kinderhimmel,[1.  0.5 0. ]
aeuglein,[1. 0.]
erdengang,[1.  0.  0.5]
wiegensang,[1.  0.5 0. ]
vergissest,[0. 1. 0.]
engelchor,[1.  0.  0.5]
rappiere,[0. 1. 0.]
horaz,[0. 1.]
dreierlicht,[1.  0.  0.5]
wehmuth,[1. 0.]
skandinaven,[0. 0. 1. 0.]
vorurtheil,[1.  0.  0.5]
margarethe,[0. 0. 1. 0.]
schwed,[0.5]
dovrefelsens,[1.  0.  0.5 0. ]
schen,[0.5]
götterschaar,[1.  0.  0.5]
sennerlied,[1.  0.  0.5]
hakon,[0. 1.]
felsenburgen,[1.  0.  0.5 0. ]
sclaven,[1. 0.]
waldbegrenzten,[1.  0.  0.5 0. ]
bergeshöh,[1.  0.  0.5]
adolph,[1.]
tycho,[1. 0.]
röslein,[1. 0.]
eintrachts,[1. 0.]
woll,[0.5]
friedensgarten,[1.  0.  0.5 0. ]
hyder,[1.]
verrathen,[0. 1. 0.]
trosteswort,[1.  0.  0.5]
ndem,[0.5]
paßten,[1. 0.]
america,[1. 0. 0.]
güldnen,[1. 0.]
gebrat,[0. 1.]
krankheitsschmerzen,[1.  0.  0.5 0. ]
zuckerherzen,[1.  0.  0.  0.5 0. ]
tanzplatz,[1.  0.5]
wirbelwindes,[1.  0.  0.5 0. ]
mähr,[0.5]
triebsand,[1. 0.]
brautzug,[1.  0.5]
seidenband,[1.  0.  0.5]
ausgetobet,[1.  0.  0.5 0. ]
cooper,[1.]
lebensrettung,[1.  0.  0.5 0. ]
athem,[1.]
aengstlich,[1. 0.]
wallfisch,[1.  0.5]
besond,[0. 1.]
purpurschein,[1.  0.  0.5]
niedern,[1. 0.]
häßlich,[1. 0.]
rosenwangen,[1.  0.  0.5 0. ]
niederschoß,[1.  0.  0.5]
felsenwand,[1.  0.  0.5]
schlangenhäuten,[1.  0.5 0.  0. ]
mondenstrahle,[1.  0.  0.5 0. ]
flammenküssen,[1.  0.  0.5 0. ]
wuth,[0.5]
stachelnd,[1. 0.]
sturmesbraus,[1.  0.  0.5]
bauerhütte,[1.  0.  0.  0.5 0. ]
wolfsgericht,[1.  0.  0.5]
neugebor,[1.  0.  0.5]
wirbelwinde,[1.  0.  0.5 0. ]
riesenhohen,[1.  0.  0.5 0. ]
edinburg,[1.  0.5]
brannt,[0.5]
mondenhellen,[1.  0.  0.5 0. ]
friedenstöne,[1.  0.  0.5 0.  0. ]
uebertäube,[1.  0.  0.5 0. ]
schreckenstöne,[1.  0.5 0.  0.  0. ]
angstgeschrei,[1.  0.  0.5]
waldemar,[1.  0.  0.5]
wordingborg,[1.  0.  0.5]
thurme,[1. 0.]
mauerspalten,[1.  0.  0.5 0. ]
vorübergleitet,[0.  1.  0.5 0. ]
finnerup,[1.  0.  0.5]
21,[1.]
1286,[1.]
erik,[1.]
glipping,[1. 0.]
ranild,[1. 0.]
stig,[0.5]
goth,[0.5]
nebelhülle,[1.  0.  0.5 0. ]
bauerliede,[1.  0.  0.  0.5 0. ]
thatest,[1. 0.]
vorschieb,[1.  0.5]
kibitz,[1. 0.]
sichres,[1.]
fleckchen,[1. 0.]
scheunenthor,[1.  0.  0.5]
bälde,[1. 0.]
ausgelass,[1.  0.  0.5]
eurer,[1. 0.]
blutnacht,[1.  0.5]
mitternächt,[1.  0.  0.5]
wogendrange,[1.  0.  0.5 0. ]
menschengeist,[1.  0.  0.5]
mephistopheles,[0. 0. 0. 1. 0. 0.]
oeffne,[1. 0.]
sturmesweh,[1.  0.  0.5]
komthur,[0. 1.]
wintergreis,[1.  0.  0.5]
vaterherzen,[1.  0.  0.5 0. ]
blaugewölbte,[1.  0.  0.5 0. ]
volksgetümmel,[1.  0.  0.5 0. ]
sternendiadem,[1.  0.  0.5 0.  0. ]
begeist,[0. 1.]
docent,[0. 1.]
baß,[0.5]
riesenkörper,[1.  0.  0.5 0. ]
tranchirt,[1. 0.]
polirt,[0. 1.]
studirt,[0. 1.]
kirschstein,[1.  0.5]
nachtthau,[1.  0.5]
eignem,[1. 0.]
ndes,[0.5]
euren,[1. 0.]
blumenstaub,[1.  0.  0.5]
wonneschau,[1.  0.  0.5]
durchweht,[1.  0.5]
götterstimme,[1.  0.  0.5 0. ]
wiesenbache,[1.  0.  0.5 0. ]
hui,[0.5]
wang,[0.5]
himmelswand,[1.  0.  0.5]
straßensteinen,[1.  0.  0.5 0. ]
angegähnt,[1.  0.  0.5]
goldlockig,[1.  0.5 0. ]
flüßchen,[1. 0.]
einher,[1. 0.]
nehm,[0.5]
hexenmeister,[1.  0.  0.5 0. ]
weidenzweig,[1.  0.  0.5]
linnen,[1. 0.]
thrän,[0.5]
thaut,[0.5]
winterfrost,[1.  0.  0.5]
bräut,[0.5]
sterbenswort,[1.  0.  0.5]
zeitenwechsel,[1.  0.  0.5 0. ]
weltenall,[1.  0.  0.  0.5]
urgebirgs,[1.  0.  0.5]
felsenhang,[1.  0.  0.5]
mammuthsthier,[0. 1. 0.]
lebensschranken,[1.  0.  0.5 0. ]
himmelsplan,[1.  0.  0.5]
flammenfittigen,[1.  0.  0.5 0.  0. ]
copernicus,[0. 1. 0. 0. 0.]
läßt,[0.5]
titane,[0. 1. 0.]
tigergleich,[1.  0.  0.5]
erinn,[1. 0.]
christopher,[0. 1. 0. 0.]
unwirthbare,[1. 0. 0. 0. 0.]
kanaan,[0. 1. 0.]
mosis,[1. 0.]
lebensquell,[1.  0.  0.5]
liebespein,[1.  0.  0.5]
bändchen,[1. 0.]
britten,[1. 0.]
fichtenspanes,[1.  0.  0.5 0. ]
fischgeräthe,[1.  0.5 0.  0. ]
häringsköpfe,[1.  0.  0.5 0. ]
zerbrochnem,[0. 1. 0.]
küchentopf,[1.  0.  0.5]
preßt,[0.5]
königshofe,[1.  0.  0.5 0. ]
meerweib,[1.  0.5]
grabchoral,[1.  0.  0.5]
jubelglockenklang,[1.  0.  0.  0.5 0. ]
knotenstab,[1.  0.  0.5]
verläßt,[0. 1.]
gothen,[1. 0.]
raae,[1.]
nationalliede,[0.  0.  0.  1.  0.  0.5]
ewald,[1.]
femern,[1. 0.]
vaterauge,[1.  0.  0.5 0. ]
heldenblut,[1.  0.  0.5]
schaaren,[1. 0.]
zeitenmeer,[1.  0.  0.5]
samsö,[1.]
küstenwall,[1.  0.  0.5]
stillzufried,[1.  0.  0.5]
lootse,[1. 0.]
fluthenreich,[1.  0.  0.5]
gedächtniß,[0. 1. 0.]
abendsang,[0.5]
wiederseh,[1.  0.  0.5]
kjögebucht,[1.  0.  0.5]
issefjorden,[1.  0.  0.5 0. ]
aepfelblüth,[1.  0.  0.5 0. ]
kirchthurm,[1. 0.]
erdbeern,[1. 0.]
knabenzeit,[1.  0.  0.5]
lenzesflur,[1.  0.  0.5]
niedertropfte,[1.  0.  0.5 0. ]
lebensmuth,[1.  0.  0.5]
silberplättchen,[1.  0.  0.5 0. ]
marionettchen,[0. 0. 0. 1. 0.]
zuschau,[1.  0.5]
abschiedskuß,[1.  0.  0.5]
scheidegruß,[1.  0.5 0. ]
heimgekehrt,[1.  0.  0.5]
seelenfroh,[1.  0.  0.5]
spielkam,[1. 0.]
erröthend,[0. 1. 0.]
hinblickt,[1.  0.5]
krystallnen,[0. 1. 0.]
schaalen,[1. 0.]
behangen,[0. 1. 0.]
blumenau,[1. 0. 0. 0.]
waldessaal,[1.  0.  0.5]
gartenecke,[1.  0.  0.5 0. ]
gartenthür,[1.  0.  0.5 0. ]
blüthenflocken,[1.  0.5 0. ]
sternenglanze,[1.  0.5]
bräutchen,[1. 0.]
nächt,[0.5]
samml,[1.]
blumensprache,[1.  0.  0.5 0. ]
vermuth,[0. 1.]
ih,[0.5]
mißversteh,[1.  0.  0.5]
geschmücket,[0. 1. 0.]
aepfelblüten,[1.  0.  0.5 0.  0. ]
freiheitslieder,[1.  0.  0.5 0. ]
béranger,[1. 0.]
oel,[0.5]
erkenntnißbaum,[0.  1.  0.  0.5]
abendwolken,[1.  0.5 0. ]
blumenkränzen,[1.  0.  0.5 0. ]
morgenwolken,[1.  0.  0.5 0. ]
athmet,[1. 0.]
meng,[0.5]
dichterwort,[1.  0.  0.5]
tödten,[1. 0.]
alltagssorge,[1.  0.  0.5 0. ]
abendschimmer,[1.  0.5 0. ]
himmelsdom,[1.  0.  0.5]
morgenthau,[1.  0.  0.5]
jugendfüll,[1.  0.  0.5]
sel,[0.5]
höhern,[1. 0.]
herabgestiegen,[0.  1.  0.  0.5 0. ]
gekräftiget,[0. 1. 0. 0.]
räthsel,[1. 0.]
ahnungsvoll,[1.  0.  0.5]
erdenhüllen,[1.  0.  0.5 0. ]
theilend,[1. 0.]
erdenschmerz,[1.  0.  0.5]
erdenschranke,[1.  0.  0.5 0. ]
geistesflug,[1.  0.  0.5]
erkenntniß,[0. 1. 0.]
himmelsthor,[1. 0. 0. 0.]
jubelchor,[1.  0.  0.5]
wahngebilde,[1.  0.  0.5 0. ]
blitzesschnelle,[1.  0.  0.5 0. ]
aethers,[1.]
abendsonnenlichte,[1.  0.5 0.  0.  0. ]
schnurrig,[1. 0.]
säng,[0.5]
purpurluft,[1.  0.  0.5]
hünengrab,[1.  0.  0.5]
küsterhaus,[1.  0.  0.5]
fuchsbalg,[1.  0.5]
langbein,[1.  0.5]
froschgequäck,[1.  0.5 0. ]
abendgesang,[1.  0.  0.5]
kirchhofsmauer,[1.  0.  0.5 0. ]
himbeer,[1.  0.5]
milchgefäß,[1.  0.  0.5]
vermißt,[0. 1.]
ißt,[0.5]
nebelschauer,[1.  0.  0.5 0. ]
ocean,[1.]
dichterherzen,[1.  0.5 0.  0. ]
lenzessonne,[1.  0.  0.5 0. ]
epheu,[1.]
lebenstrieb,[1.  0.  0.5 0. ]
thränennaß,[1.  0.  0.5]
wiesenfläche,[1.  0.  0.5 0. ]
wüthen,[1.]
siechtod,[1.]
lebewohl,[1.  0.  0.5]
schneeigweiß,[1.  0.  0.5 0. ]
rosenroth,[1.  0.  0.5]
wehmuthsvolle,[1.  0.  0.5 0. ]
nebelluft,[1.  0.  0.5]
offne,[1. 0.]
fischerweibe,[1.  0.  0.5 0. ]
hopp,[0.5]
unschuldswelt,[1.  0.  0.5]
octoberlied,[0.  1.  0.  0.5]
fernher,[1. 0.]
meereswind,[1.  0.  0.5]
drüberhin,[1.  0.  0.5]
umblüht,[1.  0.  0.5]
fischerkinder,[1.  0.  0.5 0. ]
gefaßte,[0. 1. 0.]
erblaßte,[1. 0.]
meeresfläche,[1.  0.  0.5 0. ]
falkenschnelle,[1.  0.  0.5 0. ]
sturmessausen,[1. 0. 0. 0.]
schiffesschwanken,[1.  0.5 0.  0. ]
heimathsstrande,[1.  0.  0.5 0. ]
bruderbande,[1.  0.  0.5 0. ]
nachbarstrande,[1.  0.5 0. ]
rosenhain,[1.  0.  0.5]
risch,[0.5]
liebesglühen,[1.  0.  0.5 0. ]
sternendom,[1.  0.  0.5]
aest,[0.5]
heerd,[0.5]
meeressohn,[1.  0.  0.5]
wogenschaume,[1.  0.  0.5 0. ]
witzesfunken,[1.  0.  0.5 0. ]
bündniß,[1. 0.]
himmelshöhen,[1.  0.  0.5 0. ]
unsrer,[1. 0.]
fluthgebrause,[1.  0.  0.5 0. ]
