,word1,word2,rhyme
471,stumpen,emerenzgen,0
472,zuverstehen,stehen,1
473,wald,bald,1
474,weh,föhnentlaubt,0
475,grüfte,segenspender,0
476,schreiten,vorübergleiten,1
477,verlassen,erblassen,1
478,überwogen,wonne,0
479,weyhen,ligen,0
480,schlösser,grösser,1
481,erzählen,viel,0
482,gemacht,liede,0
483,bringe,dinge,1
484,nur,todtenuhr,1
485,sinn,sey,0
486,fein,verschweigen,0
487,hertze,kertze,1
488,feuer,freyer,1
489,mu,steiget,0
490,lacht,nacht,1
491,creatur,natur,1
492,hoffen,gestorben,0
493,sin,dahin,1
494,ruhn,grabe,0
495,wol,abtrennen,0
496,sie,küssen,0
497,nehmen,ende,0
498,bleiben,nicht,0
499,seide,sterbekleide,1
500,gefahr,bemüht,0
501,sichdrang,tanenkerzen,0
502,ausbläst,bestreiten,0
503,mir,ihr,1
504,heucheleyen,reisen,0
505,eisen,preisen,1
506,schlief,geflogen,0
507,brach,sprach,1
508,lencken,will,0
509,schmachten,rund,0
510,sternen,bernsteinkernen,1
511,hertzen,leben,0
512,gossen,aufgeschossen,1
513,erden,werden,1
514,welt,feld,1
515,bedacht,gebracht,1
516,streichen,entweichen,1
517,leben,geben,1
518,hände,ende,1
519,hatten,überschatten,1
520,lust,brust,1
521,erkracht,beygebracht,1
522,verdrieen,mähr,0
523,geh,entgegen,0
524,erben,werben,1
525,heerd,begehrt,1
526,seyn,stunden,0
527,knieten,pfahle,0
528,grau,vergnügen,0
529,qual,jammerthal,1
530,hedräun,wacht,0
531,maschine,dache,0
532,hausen,lebensgeister,0
533,werth,sterben,0
534,hügel,spiegel,1
535,mag,macht,0
536,nicht,feiert,0
537,brauch,gauch,1
538,befeuchtet,gegenwart,0
539,erben,färben,1
540,hinzugehn,ersehn,1
541,demuth,wehmuth,1
542,wiederfahren,licht,0
543,schenken,stehen,0
544,freudenschein,dort,0
545,seyn,seyn,1
546,eingeritten,prophetenstadt,0
547,reihn,töchterlein,1
548,finden,macht,0
549,hut,blut,1
550,pracht,nicht,0
551,weib,geschrieben,0
552,saal,spital,1
553,rohr,empor,1
554,bekleibt,gläubt,1
555,lebenslauf,gericht,0
556,dienen,geister,0
557,vieren,hinab,0
558,gesellen,machen,0
559,solte,holte,1
560,gefahr,geschämt,0
561,allein,seyn,1
562,sinn,begier,0
563,verfluchten,juchten,1
564,hin,suchen,0
565,leben,schau,0
566,gepflanzt,seh,0
567,zweck,toll,0
568,send,mir,0
569,hetzt,sagt,0
570,gefahr,jahr,1
571,sind,pflegen,0
572,nicht,gebricht,1
573,glücke,schicke,1
574,grämen,macht,0
575,verborgen,wachsamkeit,0
576,gesäugt,schwächet,0
577,maid,toben,0
578,wissen,liebesflammen,0
579,herdes,pferdes,1
580,schertze,will,0
581,verletzen,schätzen,1
582,hum,herum,1
583,freun,wein,1
584,werden,traum,0
585,bücher,tücher,1
586,wieder,lieder,1
587,nicht,nicht,1
588,bauen,geborgen,0
589,unterricht,lachen,0
590,goldesklang,blut,0
591,zweig,herzensgrund,0
592,nicht,nicht,1
593,eigenthum,gelegt,0
594,bergesschlunde,rächen,0
595,gerüttelt,abschiedszorn,0
596,glauben,erlauben,1
597,verleitet,seyn,0
598,bescheret,verwehret,1
599,schein,küssen,0
600,schoo,herz,0
601,düstern,bald,0
602,dieb,lieb,1
603,wohlgefällt,lauberhüttenfest,0
604,seid,beschert,0
605,schragen,kinder,0
606,nacht,pracht,1
607,geleite,reventlow,0
608,fakel,orakel,1
609,stumm,warum,1
610,do,scho,1
611,sang,schweben,0
612,küsst,ist,1
613,hinauf,mark,0
614,drein,geifer,0
615,und,soll,0
616,a,mattethal,0
617,finden,verschwinden,1
618,general,erwacht,0
619,kan,gethan,1
620,streitet,entgehn,0
621,gethan,kan,1
622,geneigt,dahin,0
623,schwestern,ehegestern,1
624,mitternacht,schlacht,1
625,kan,schnell,0
626,getroffen,hoffen,1
627,schöne,bene,1
628,kron,thron,1
629,unentschieden,frieden,1
630,verstreuet,sturmesbraus,0
631,paaren,ersparen,1
632,freuden,frauen,0
633,fragen,sagen,1
634,westen,gästen,1
635,ligen,ehr,0
636,schmerzenlos,sorgen,0
637,hier,ihr,1
638,entsagen,klagen,1
639,evangelio,wit,0
640,genommen,deine,0
641,thron,sohn,1
642,vorbei,rasten,0
643,man,bein,0
644,traum,wonne,0
645,ding,ertheilte,0
646,hieher,wär,1
647,gleich,allhier,0
648,aus,kennen,0
649,grund,mund,1
650,neuerwacht,nacht,1
651,heit,kan,0
652,nacht,pracht,1
653,scho,sehen,0
654,gethan,kann,1
655,flimmer,schimmer,1
656,licht,gesicht,1
657,weg,balsamirt,0
658,locken,erschrocken,1
659,nicht,nicht,1
660,scheitel,eitel,1
661,solt,wolt,1
662,kümmern,ihr,0
663,gefiel,nil,1
664,augestossen,gunst,0
665,nicht,wicht,1
666,sein,liebespein,1
667,mordgesellen,fällen,1
668,todten,geringe,0
669,blatt,kummersatt,1
670,vergangen,verlangen,1
671,erreite,plagen,0
672,mir,flei,0
673,hand,stand,1
674,strahlen,riesengräbermalen,1
675,verkennet,genennet,1
676,bedanckt,da,0
677,kriegt,liegt,1
678,fährt,entrinnen,0
679,bahn,haupt,0
680,verfasster,zuführen,0
681,sommertage,mann,0
682,hat,lieber,0
683,gegeben,leben,1
684,streifen,schweifen,1
685,verachten,trennen,0
686,thür,ungefäll,0
687,nennen,entzogen,0
688,geschicke,zurücke,1
689,wege,möge,1
690,ziel,viel,1
691,rosen,seyn,0
692,tief,haus,0
693,schaar,trug,0
694,bemüht,schrecken,0
695,stehen,untergehen,1
696,wiederfahren,offenbahren,1
697,rom,mohren,0
698,welt,geld,1
699,einmahl,gesaget,0
700,wafen,schlafen,1
701,seligmacher,wiedersacher,1
702,mu,gezogen,0
703,vergwissen,stat,0
704,thal,überal,1
705,brennen,nennen,1
706,tugend,gesetzt,0
707,ging,ding,1
708,sacht,gemacht,1
709,gnaden,ach,0
710,droht,tod,1
711,ruh,gleich,0
712,verdammt,verrat,0
713,reigen,geschlossen,0
714,batist,beginnen,0
715,lieder,göttinnen,0
716,schämen,nehmen,1
717,gemüthe,blüte,1
718,das,weib,0
719,sterben,verderben,1
720,gesungen,vaterland,0
721,fchrecken,verweilen,0
722,hingeflohn,doch,0
723,unvollkommenheit,erheben,0
724,genusse,liebenswerth,0
725,erzehlen,erheben,0
726,gebeten,antreten,1
727,schien,seinebeute,0
728,raum,traum,1
729,seyn,bitterkeit,0
730,vergangen,wangen,1
731,aussenschein,schrein,1
732,scheiden,freuden,1
733,lacht,ganz,0
734,sich,mich,1
735,strecket,vorgeschrieben,0
736,leid,kan,0
737,dank,trank,1
738,spröde,singen,0
739,gläntzt,bekräntzt,1
740,schachte,machte,1
741,vergünnen,sinnen,1
742,auch,befahl,0
743,freun,begonnen,0
744,entzücken,mitternacht,0
745,trümmerreste,feste,1
746,meisterstücke,sitzt,0
747,wiedererkannt,lieben,0
748,schlagen,tagen,1
749,thun,scheer,0
750,beut,jagen,0
751,fein,hurre,0
752,hold,gold,1
753,patron,propheten,0
754,mich,dich,1
755,kleine,mondenscheine,1
756,gelegenheit,zu,0
757,heime,sitten,0
758,nacht,erwacht,1
759,dank,beingerippe,0
760,geschrey,vernommen,0
761,grabe,habe,1
762,erwekken,erschrekken,1
763,brennen,reu,0
764,gestolen,einzuholen,1
765,lieben,üben,1
766,haab,fliegen,0
767,durchwacht,wall,0
768,du,brechen,0
769,morden,mongolenhorden,1
770,betrübt,diamant,0
771,gemacht,mu,0
772,rachewut,blut,1
773,lenoren,geplärr,0
774,gedenke,ring,0
775,menschenschaar,zorne,0
776,wetter,blätter,1
777,sehe,gewehe,1
778,gewinnen,sinnen,1
779,all,lau,0
780,leiden,kundschafftmeiden,1
781,lebenszeit,tod,0
782,verschaffen,affen,1
783,stehn,gehn,1
784,liebe,hulden,0
785,liebe,geht,0
786,sterben,erben,1
787,zwei,stumm,0
788,stumm,herum,1
789,gedeihen,schätzet,0
790,herz,scherz,1
791,gespendet,vollendet,1
792,hirne,gestirne,1
793,libethrinnen,kastalinnen,1
794,ehren,bethören,1
795,blüthen,glühten,1
796,recht,mann,0
797,sprüche,brüche,1
798,erden,blümelein,0
799,nachgetrachtet,geachtet,1
800,riff,porte,0
801,erwähne,gedenke,0
802,durchschauern,braut,0
803,bey,weiste,0
804,hail,schmertzen,0
805,ringer,finger,1
806,schlagen,klippen,0
807,zeigen,überwunden,0
808,verziehn,spricht,0
809,kranken,wanken,1
810,schicke,gelücke,1
811,kauf,lügenbrut,0
812,nicht,angesicht,1
813,mund,verwundt,1
814,stehen,blüthenzweigen,0
815,weichen,obgesiegt,0
816,singen,ergiebt,0
817,scheiden,kleiden,1
818,schla,witt,0
819,geschlecht,stab,0
820,glatt,matt,1
821,auf,lebenslauf,1
822,fluth,blut,1
823,schuldigkeit,zeit,1
824,klang,brust,0
825,verneut,zier,0
826,todesbeben,umweben,1
827,zuerkohren,prangen,0
828,verhüllet,angefüllet,1
829,an,zahn,1
830,anund,mancherley,0
831,tag,genug,0
832,zerrissen,blättern,0
833,dir,mir,1
834,schertz,hötzen,0
835,wählte,lehren,0
836,schäumen,auszuräumen,1
837,winde,mädchensang,0
838,ist,sich,0
839,hin,erscheint,0
840,sehen,auffgehen,1
841,seyn,dein,1
842,freund,nimmt,0
843,bewehret,liegen,0
844,blick,trocken,0
845,wieder,bett,0
846,frieden,ohren,0
847,hertzen,pflegt,0
848,lüstern,verdüstern,1
849,reiset,hochgepreiset,1
850,entfernen,ihn,0
851,band,hand,1
852,blätter,schlachtendonnerwetter,1
853,todesfahl,bleich,0
854,schlangenschwäntze,butterkräntze,1
855,streut,gekennt,0
856,knute,haus,0
857,klar,wiegen,0
858,gespannt,hand,1
859,auch,manchemstrauch,1
860,sieht,finden,0
861,herlichkeit,lebenszeit,1
862,schaar,gefahr,1
863,blind,ausgeübt,0
864,roth,lebensbrodt,1
865,hin,bin,1
866,zerrissen,mähr,0
867,bahre,umlichtet,0
868,ergehn,rar,0
869,freyen,reisen,0
870,gehn,kalb,0
871,siegesbahn,dir,0
872,anzuschaun,vergist,0
873,süden,cymbelzug,0
874,habe,hand,0
875,heilgenschein,stundenlang,0
876,deich,ballen,0
877,gab,häyn,0
878,unverstört,gehört,1
879,verzogen,bogen,1
880,schimmern,ehrenruhm,0
881,erbauen,vertrauen,1
882,wil,spiel,1
883,feuer,kennen,0
884,jammerleben,last,0
885,armen,erbarmen,1
886,bewust,hingeben,0
887,noht,wiegen,0
888,verlangen,mag,0
889,lachen,machen,1
890,trägst,legst,1
891,myrthenbüschen,erwischen,1
892,blind,kind,1
893,wille,stille,1
894,belieben,betrüben,1
895,ein,seelenpein,1
896,verzehrt,wieder,0
897,freind,feind,1
898,schaffen,entraffen,1
899,freyheitsglantz,klagen,0
900,zahl,pokal,1
901,häuft,läuft,1
902,geniessen,zusammenfügt,0
903,weise,trauet,0
904,zeit,seeligkeit,1
905,tanz,kranz,1
906,thut,gut,1
907,gemeinsam,einsam,1
908,cymbelzug,zweige,0
909,mund,hauch,0
910,geschlechter,seinetöchter,1
911,blut,domitiane,0
912,verzehrt,wiese,0
913,krippen,lippen,1
914,sein,hinterdrein,1
915,gemüthe,güte,1
916,gesucht,erfüllt,0
917,abendsegens,bette,0
918,besteht,geht,1
919,gewendet,entkommen,0
920,dahin,gewi,0
921,beute,leute,1
922,weggerafft,krafft,1
923,trübt,herze,0
924,thron,sohn,1
925,begrüst,freude,0
926,chören,sprossen,0
927,allein,güldkettlein,1
928,friede,ermessen,0
929,herz,vorgekommen,0
930,hüner,fehlt,0
931,gestalten,walten,1
932,schreit,fabriken,0
933,weit,seyd,1
934,geist,blitzen,0
935,treue,reue,1
936,vergessen,zeitregister,0
937,siegesbinden,überwinden,1
938,bang,fang,1
939,lieben,fürgeschrieben,1
940,ab,drauf,0
941,sitzt,republik,0
942,zeugen,palmenzweigen,1
943,hat,gelegenheit,0
944,da,ja,1
945,sehn,geschehn,1
946,laden,da,0
947,tasso,semilasso,1
948,rührt,doch,0
949,auf,darauf,1
950,ternate,gerathe,1
951,ertragen,lebenstagen,1
952,wild,frauenbild,1
953,zertrümmert,turnier,0
954,grüen,rauh,0
955,brunst,gunst,1
956,dir,mir,1
957,nein,anemone,0
958,sache,rache,1
959,tüchtigkeit,academici,0
960,rad,königsdichter,0
961,moment,brennt,1
962,sticht,flicht,1
963,erden,geht,0
964,meiden,wollt,0
965,gebracht,ueberlegen,0
966,weinen,erscheinen,1
967,papier,kanonen,0
968,dir,thier,1
969,können,hinüber,0
970,todt,noth,1
971,frühe,mühe,1
972,verehrn,wehren,1
973,eilen,verweilen,1
974,gleichen,seyn,0
975,liebe,trägt,0
976,entzünden,finden,1
977,thauen,ächzt,0
978,kalt,zahn,0
979,versprochen,freyet,0
980,glück,regen,0
981,hin,ihn,1
982,schönen,gewöhnen,1
983,seyn,ein,1
984,vaterland,entbrannt,1
985,hände,sieht,0
986,entwenden,seyn,0
987,stoht,thue,0
988,stecken,strecken,1
989,verlangen,beschert,0
990,gemacht,ketten,0
991,eh,welt,0
992,sonne,nieder,0
993,dingerlehre,ertönen,0
994,sünden,ziehet,0
995,mutterbrust,rein,0
996,blühen,nur,0
997,hertz,schmertz,1
998,hertzen,lange,0
999,nächte,vermöchte,1
1000,zieht,schönen,0
1001,verschwur,lust,0
1002,thrones,klaget,0
1003,meynt,feind,1
1004,tro,geladen,0
1005,haus,heraus,1
1006,ein,quodlibet,0
1007,gebrochen,getröst,0
1008,gehe,geschehe,1
1009,quellen,schwellen,1
1010,sigel,zeitlosen,0
1011,weibes,hangen,0
1012,tödten,williglich,0
1013,firmament,wer,0
1014,stein,gesichte,0
1015,geschwächt,knecht,1
1016,edelgestein,provinz,0
1017,kühle,sehr,0
1018,bulerin,ehrendieb,0
1019,bunde,stunde,1
1020,rein,ein,1
1021,wangen,abgegangen,1
1022,gewand,wach,0
1023,verhangen,bette,0
1024,glühn,kühn,1
1025,offenbart,ward,1
1026,hauffen,ruhm,0
1027,fassen,sey,0
1028,stirne,bild,0
1029,reicht,schleicht,1
1030,wetterhahn,mehr,0
1031,erhöret,versprochen,0
1032,rast,schlos,0
1033,hundeblume,wehtume,1
1034,schlegel,nehmt,0
1035,chranke,anke,1
1036,auszubaden,ach,0
1037,begangen,nachgehangen,1
1038,gefahr,verloren,0
1039,spiegel,spiegel,1
1040,und,machen,0
1041,regnet,begegnet,1
1042,natur,fühlt,0
1043,taugen,wort,0
1044,bethabara,sterben,0
1045,langsamsetzen,reicht,0
1046,seyn,veränderlich,0
1047,kind,geschwind,1
1048,sinnt,wandern,0
1049,laufen,ritterhaufen,1
1050,geschicht,gedult,0
1051,ein,seyn,1
1052,phrase,nase,1
1053,fühlte,weh,0
1054,rest,vermählungsfest,1
1055,lehren,zehren,1
1056,meinen,deinen,1
1057,mild,brüsten,0
1058,zweigen,schweigen,1
1059,wehn,lenzesmächtig,0
1060,licht,gesicht,1
1061,zuckerbrod,noch,0
1062,schaar,wald,0
1063,kennt,nennt,1
1064,dir,wir,1
1065,myrtenkron,thron,1
1066,sterben,verfärben,1
1067,an,dich,0
1068,labe,lieblingsschaar,0
1069,sinn,leben,0
1070,bibo,praeibo,1
1071,see,leiden,0
1072,werde,worden,0
1073,seyn,drein,1
1074,niederthauen,haar,0
1075,zit,dri,0
1076,überstreuet,ertragen,0
1077,spricht,bricht,1
1078,klage,tage,1
1079,nicht,erd,0
1080,tage,flöten,0
1081,bin,vermeynt,0
1082,ort,dort,1
1083,gejagt,verzagt,1
1084,geflogen,leiter,0
1085,verderben,bewerben,1
1086,bald,mann,0
1087,erflehte,verflucher,0
1088,sprühten,glühten,1
1089,mann,kan,1
1090,mund,hertzensgrund,1
1091,geniessen,holunderlaube,0
1092,begleitt,zeitlichkeit,1
1093,begraben,gebein,0
1094,gewachet,gemachet,1
1095,kleinode,tode,1
1096,strahl,thal,1
1097,gehn,sehn,1
1098,minnegefühl,knaben,0
1099,drehen,frauenzimmer,0
1100,sibylle,fülle,1
1101,erlesen,streiter,0
1102,an,begangen,0
1103,ankam,nam,1
